run_id,group,producer_bhp_psi,gas_inj_rate_mscf_d,inj_bhp_limit_psi,init_prod_period_days,perm_multiplier,poro_multiplier,final_time_days,final_fopt,final_fopr,final_fpr,final_fgpr,final_fgit,peak_fopr,peak_fpr,min_fpr
1,Producer_BHP,3351.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76164.25,0.437459,4360.356,34.60755,271551.8,578.0145,7193.762,4360.356
2,Producer_BHP,2978.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76182.54,0.436549,3987.122,34.60755,272003.0,605.7298,7026.894,3987.122
3,Producer_BHP,4039.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76129.9,0.438982,5048.809,34.60754,270565.4,519.0878,7487.099,5048.809
4,Producer_BHP,4902.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76081.59,0.442297,5912.572,34.60752,268712.5,456.6908,7847.496,5912.572
5,Producer_BHP,2606.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76199.85,0.435841,3614.922,34.60756,272366.8,628.1242,6863.19,3614.922
6,Producer_BHP,3883.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76137.7,0.438812,4892.711,34.60754,270812.1,535.3388,7411.595,4892.711
7,Producer_BHP,4753.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76090.55,0.441701,5763.42,34.60753,269107.2,477.3352,7784.019,5763.42
8,Producer_BHP,3209.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76171.5,0.436448,4218.253,34.60755,271731.2,589.7385,7131.253,4218.253
9,Producer_BHP,2742.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76193.25,0.435844,3750.998,34.60756,272220.9,651.1292,6908.918,3750.998
10,Producer_BHP,2416.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76208.78,0.435447,3424.817,34.60756,272547.4,652.615,6791.723,3424.817
11,Producer_BHP,4668.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76095.32,0.441347,5678.338,34.60753,269299.5,477.3274,7751.993,5678.338
12,Producer_BHP,2210.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76218.03,0.434981,3218.713,34.60757,272709.5,658.0963,6705.214,3218.713
13,Producer_BHP,1689.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76235.13,0.436961,2697.444,34.60755,273084.6,697.6232,6491.077,2697.444
14,Producer_BHP,3624.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76151.09,0.43731,4633.518,34.60755,271204.0,549.5153,7292.269,4633.518
15,Producer_BHP,2837.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76189.28,0.436277,3846.043,34.60756,272144.9,620.3323,6967.456,3846.043
16,Producer_BHP,4548.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76102.25,0.440869,5558.234,34.60753,269574.0,495.9884,7694.232,5558.234
17,Producer_BHP,1982.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76228.41,0.433917,2990.596,34.60757,272885.9,774.093,6593.911,2990.596
18,Producer_BHP,4431.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76102.0,0.442989,5441.101,34.60752,269827.6,493.484,7662.414,5441.101
19,Producer_BHP,3484.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76157.96,0.437747,4493.43,34.60755,271400.3,579.3878,7239.613,4493.43
20,Producer_BHP,4211.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76120.75,0.438952,5220.943,34.60754,270254.7,509.6028,7542.506,5220.943
21,Producer_BHP,3073.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76178.02,0.436603,4082.178,34.60755,271890.9,599.2722,7060.684,4082.178
22,Producer_BHP,1870.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76226.22,0.437365,2878.526,34.60755,272971.5,693.5183,6555.102,2878.526
23,Producer_BHP,1504.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76245.0,0.437728,2512.378,34.60755,273220.0,723.5809,6406.176,2512.378
24,Producer_BHP,2074.0,34.61,10000.0,3230.0,1.0,1.0,8000.0,76224.53,0.434036,3082.636,34.60757,272825.0,680.3197,6653.021,3082.636
